rank,code,name,industry,board,mcap_억,score,grade,growth,quality,momentum,rev_yoy,roa,mom_12_1
1,458870,씨어스,의료용 기기 제조업,기술성장기업부,11227.6,75.34,S+,80.4,64.5,83.7,4.947184680149596,0.29601739462140153,2.8387
2,476060,온코닉테라퓨틱스,자연과학 및 공학 연구개발업,기술성장기업부,7896.4,74.74,S+,80.0,64.7,80.5,2.5982400406833914,0.20848919581337524,2.6286
3,420770,기가비스,특수 목적용 기계 제조업,우량기업부,15895.4,71.94,S+,61.0,77.6,95.3,1.0064409494673558,0.06457868011540402,4.5019
4,095610,테스,특수 목적용 기계 제조업,우량기업부,20250.6,71.16,S+,66.2,70.7,88.9,0.4625079607591358,0.11676190659889937,3.6982
5,058470,리노공업,전자부품 제조업,우량기업부,70724.6,71.09,S+,68.4,84.6,48.4,0.3391537709881829,0.19188693755277253,0.9136
6,240810,원익IPS,특수 목적용 기계 제조업,우량기업부,48053.1,70.63,S+,61.6,77.1,85.8,0.2160174855452346,0.07215004544887332,3.0076
7,214150,클래시스,의료용 기기 제조업,우량기업부,27823.0,70.05,S+,78.0,84.5,10.0,0.38643727792893356,0.1872848440954123,-0.2863
8,327260,RF머트리얼즈,전자부품 제조업,벤처기업부,6396.8,69.92,S+,73.0,53.1,98.9,0.4401963172635299,0.08094921600754765,12.7173
9,440110,파두,반도체 제조업,기술성장기업부,53653.7,69.5,S+,77.5,45.4,98.9,1.124448314427875,-0.6225593340332868,7.2853
10,336570,원텍,의료용 기기 제조업,우량기업부,7023.1,69.03,S+,77.2,82.8,9.5,0.36079691093541966,0.16212446826934734,-0.2996
11,214450,파마리서치,의료용품 및 기타 의약 관련제품 제조업,우량기업부,30181.9,68.04,S,82.8,74.0,4.7,0.5317510351486716,0.16118149861644368,-0.4022
12,039030,이오테크닉스,특수 목적용 기계 제조업,우량기업부,53220.5,67.36,S,61.4,76.9,64.7,0.186776611516432,0.07401435844067633,1.7229
13,082920,비츠로셀,일차전지 및 이차전지 제조업,우량기업부,23803.2,67.28,S,56.7,75.8,82.6,0.153255892902584,0.15350361709235488,2.6894
14,108490,로보티즈,특수 목적용 기계 제조업,기술성장기업부,59361.0,67.07,S,59.9,68.4,87.9,0.29643276720553424,0.016587440085264835,3.5788
15,425420,티에프이,전자부품 제조업,우량기업부,5729.1,67.06,S,79.4,61.0,40.0,0.5176889696562146,0.12605839520106354,0.6489
16,319660,피에스케이,특수 목적용 기계 제조업,우량기업부,26243.8,66.52,S,55.7,70.5,93.2,0.14862964212128538,0.1215880496521503,4.0852
17,252990,샘씨엔에스,전자부품 제조업,우량기업부,7539.3,66.29,S,71.1,61.6,61.1,0.46270682614527936,0.05936608085440326,1.6004
18,131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",우량기업부,22620.6,65.83,S,62.5,59.2,92.6,0.23228511982607558,0.06585892127759067,4.0608
19,006910,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",우량기업부,4348.0,65.72,S,57.2,77.9,65.8,0.913862948790914,0.15241862274693174,1.7518
20,101490,에스앤에스텍,전자부품 제조업,우량기업부,13675.7,65.59,S,75.4,63.1,38.9,0.38473873113117474,0.14780317338496018,0.6368
21,196170,알테오젠,자연과학 및 공학 연구개발업,우량기업부,191303.2,65.56,S,79.9,66.9,14.7,1.0986798383782483,0.2077632008396596,-0.0081
22,052400,코나아이,소프트웨어 개발 및 공급업,우량기업부,8082.6,65.54,S,76.8,72.3,12.1,0.3083071296424853,0.13333310080316357,-0.0918
23,095340,ISC,기계장비 및 관련 물품 도매업,우량기업부,44831.8,65.45,S,59.9,68.8,76.3,0.2620050055523244,0.09052287403148664,2.3863
24,475960,토모큐브,사진장비 및 광학기기 제조업,기술성장기업부,5460.4,65.18,S,77.9,55.1,46.3,0.9039219970191963,-0.1158700935172453,0.7793
25,368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",벤처기업부,5240.2,64.98,S,67.4,60.5,67.4,0.31959560639387985,0.1533184908935231,1.8146
26,080220,제주반도체,반도체 제조업,우량기업부,34787.3,64.87,S,65.9,49.9,96.3,0.8615994624388215,0.1175609744330318,5.326
27,089890,코세스,특수 목적용 기계 제조업,우량기업부,6219.4,64.46,S,51.5,69.9,94.7,0.19072154716756584,0.14310669035297013,4.4075
28,089970,브이엠,특수 목적용 기계 제조업,우량기업부,13426.4,63.56,S,59.2,59.1,88.4,1.0548819931096505,0.10506120128787373,3.6598
29,476830,알지노믹스,자연과학 및 공학 연구개발업,기술성장기업부,15452.6,63.38,S,68.2,62.2,50.0,,-1.65214977209561,
30,031980,피에스케이홀딩스,특수 목적용 기계 제조업,우량기업부,21691.8,63.37,A,52.3,76.1,70.5,-0.0359339272421314,0.15675876923905813,2.0241
31,226950,올릭스,자연과학 및 공학 연구개발업,기술성장기업부,31668.9,63.21,A,67.4,44.8,92.1,1.5834880779888296,-0.08058031824184035,4.0316
32,124500,아이티센글로벌,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",우량기업부,10047.6,62.52,A,85.0,38.0,44.7,0.7878108490055069,0.1239748152254488,0.747
33,039200,오스코텍,의약품 제조업,벤처기업부,16068.4,62.45,A,66.8,69.5,31.6,1.9357749842424354,0.23665920443433694,0.4677
34,053610,프로텍,특수 목적용 기계 제조업,우량기업부,6750.0,62.3,A,59.1,61.8,74.2,0.35382808009527866,0.07988883297120876,2.1959
35,067310,하나마이크론,반도체 제조업,중견기업부,27516.2,62.24,A,74.7,38.7,75.8,0.22685534715090028,0.03249938408506586,2.3849
36,083650,비에이치아이,일반 목적용 기계 제조업,우량기업부,20918.4,62.18,A,80.0,45.1,42.6,0.912622652685426,0.07847827049768263,0.7173
37,295310,에이치브이엠,1차 비철금속 제조업,기술성장기업부,12099.5,62.02,A,74.8,34.8,83.2,0.4738789713197866,0.0727816954859815,2.8059
38,218410,RFHIC,통신 및 방송 장비 제조업,우량기업부,21880.0,61.58,A,60.7,56.9,75.3,0.617429629657611,0.06500701294850819,2.3064
39,356860,티엘비,전자부품 제조업,우량기업부,9931.0,61.09,A,68.4,36.5,94.2,0.43608796774828007,0.0769513100758927,4.3832
40,403870,HPSP,특수 목적용 기계 제조업,우량기업부,36335.4,60.97,A,45.3,90.2,45.3,-0.04651025831590072,0.19653993109733783,0.7532
41,277810,레인보우로보틱스,특수 목적용 기계 제조업,기술성장기업부,148020.9,60.67,A,67.1,52.0,59.5,0.763761716448563,0.009919403226470737,1.5027
42,122870,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,우량기업부,8093.2,60.63,A,73.6,67.6,1.1,0.49446713282095844,0.0640748181490442,-0.5315
43,035900,JYP Ent.,오디오물 출판 및 원판 녹음업,우량기업부,19720.5,60.19,A,74.1,61.6,10.5,0.3656882389580973,0.1886562410576242,-0.2234
44,096530,씨젠,의료용품 및 기타 의약 관련제품 제조업,우량기업부,16634.0,59.81,A,60.6,78.9,12.6,0.14479083132284987,0.039201687555575876,-0.0816
45,084370,유진테크,특수 목적용 기계 제조업,우량기업부,27453.4,59.78,A,43.9,77.0,72.6,0.03625448606946535,0.0766120303923222,2.1714
46,171090,선익시스템,특수 목적용 기계 제조업,우량기업부,7395.1,59.46,A,66.3,51.5,55.3,3.567286380767893,0.26399923512727497,1.2968
47,043260,성호전자,전자부품 제조업,우량기업부,33688.3,58.81,A,61.2,38.2,98.9,0.11696748725243467,0.1566767808616024,27.8927
48,145020,휴젤,기초 의약물질 제조업,우량기업부,29898.8,58.74,A,59.1,80.7,6.3,0.13956180715385758,0.13648692041145397,-0.3595
49,466100,클로봇,소프트웨어 개발 및 공급업,기술성장기업부,12067.7,58.19,A,67.0,48.2,52.1,0.2398857136947119,-0.02943865119171033,1.1411
50,232140,와이씨,특수 목적용 기계 제조업,우량기업부,12544.7,58.14,A,63.5,59.2,37.9,0.29060980645401835,0.047735332915495345,0.6122
51,213420,덕산네오룩스,전자부품 제조업,우량기업부,8889.6,57.66,A,68.6,58.2,20.0,0.6221728618587481,0.07555433736311928,0.0928
52,214370,케어젠,기초 의약물질 제조업,벤처기업부,43885.2,57.01,A,42.3,76.5,60.5,-0.1183973212771866,0.08690384622548589,1.581
53,332570,PS일렉트로닉스,전자부품 제조업,우량기업부,4951.4,56.7,A,52.2,52.7,81.1,0.027404621258471984,0.07068940350170064,2.6296
54,347700,스피어,소프트웨어 개발 및 공급업,기술성장기업부,16514.6,56.65,A,68.4,29.2,81.6,36.39150904356895,0.0017855135713288387,2.6538
55,090710,휴림로봇,특수 목적용 기계 제조업,중견기업부,13068.6,56.02,A,65.5,36.7,69.5,0.2645185469945157,-0.10869066524933302,1.9871
56,170920,엘티씨,기초 화학물질 제조업,벤처기업부,4378.8,55.94,A,57.0,48.8,68.9,0.12063073766597676,0.047444507120486056,1.9767
57,290650,엘앤씨바이오,의약품 제조업,우량기업부,21252.1,55.84,A,55.3,52.6,65.3,0.18563565897163747,-0.30274960554759095,1.7315
58,195940,HK이노엔,의약품 제조업,우량기업부,12068.5,55.51,A,62.8,61.2,17.9,0.18504222955636007,0.036100282374878175,0.0514
59,237690,에스티팜,의약품 제조업,우량기업부,25743.0,55.36,B,58.3,55.9,44.2,0.21161517969560584,0.06972175969496341,0.7416
60,068760,셀트리온제약,의약품 제조업,우량기업부,20513.9,55.34,B,65.2,58.8,14.2,0.12256315127761441,0.05102663976892523,-0.0203
61,064760,티씨케이,기타 비금속 광물제품 제조업,우량기업부,28060.3,55.33,B,45.1,68.9,57.9,0.09288049303109425,0.12315131327891354,1.4674
62,166090,하나머티리얼즈,반도체 제조업,우량기업부,11530.4,55.29,B,50.1,61.1,58.9,0.08677174181366687,0.05597330147395127,1.4951
63,376900,로킷헬스케어,의료용품 및 기타 의약 관련제품 제조업,기술성장기업부,8603.6,55.24,B,67.1,28.8,77.4,1.001871390903284,-0.05096875835538549,2.4229
64,033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",우량기업부,8994.9,55.21,B,42.5,83.8,31.1,-0.14736857903255407,0.21996926336562717,0.3532
65,033500,동성화인텍,기초 화학물질 제조업,우량기업부,5874.9,55.05,B,68.9,54.1,11.1,0.24234010691802088,0.11141862145298821,-0.219
66,006730,서부T&D,일반 및 생활 숙박시설 운영업,우량기업부,6940.7,54.92,B,67.6,49.7,24.7,0.32457402107354194,0.03569651347915,0.2098
67,083450,GST,특수 목적용 기계 제조업,우량기업부,8883.3,54.69,B,42.5,67.1,66.3,0.0026889275138901603,0.11799881368979359,1.7703
68,086450,동국제약,의약품 제조업,우량기업부,8376.7,54.54,B,57.9,64.1,21.1,0.1412489792071736,0.06955785318801005,0.1337
69,397030,에이프릴바이오,자연과학 및 공학 연구개발업,기술성장기업부,13416.1,54.51,B,40.6,61.7,84.2,-0.921058370284219,-0.10016501928824846,2.8573
70,356680,엑스게이트,소프트웨어 개발 및 공급업,벤처기업부,5449.0,54.37,B,46.4,59.0,70.0,0.1138363956156101,0.05669277015231703,2.012
71,126340,비나텍,일차전지 및 이차전지 제조업,벤처기업부,9365.2,54.22,B,56.5,35.0,91.6,0.3798715530501424,-0.034596406627757544,3.995
72,222080,씨아이에스,특수 목적용 기계 제조업,우량기업부,8594.7,53.95,B,52.4,60.8,43.2,-0.1993145788937819,0.043519323236145324,0.7378
73,340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업,우량기업부,4421.6,53.83,B,50.1,76.6,13.2,-0.061374529867326166,0.1753976535289682,-0.0571
74,041510,에스엠,오디오물 출판 및 원판 녹음업,우량기업부,17926.5,53.8,B,66.9,56.5,3.7,0.18713219009050563,0.17899192712641177,-0.4348
75,140860,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",우량기업부,19256.8,53.8,B,60.3,61.7,13.7,0.17453248449034486,0.09852390503793133,-0.035
76,214430,아이쓰리시스템,전자부품 제조업,우량기업부,5180.8,53.46,B,61.3,60.2,11.6,0.02960946361839434,0.09909557540967692,-0.1764
77,030530,원익홀딩스,기초 화학물질 제조업,중견기업부,19811.5,53.31,B,43.7,51.1,90.5,-0.03482875319693768,0.025601085490559124,3.9634
78,174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,벤처기업부,6763.8,52.96,B,44.9,53.5,78.4,1.0147177026441132,-0.25311438385326746,2.5391
79,060250,NHN KCP,금융 지원 서비스업,우량기업부,6971.9,52.92,B,58.0,51.9,38.4,0.11721184165258425,0.0693873260521804,0.6345
80,058610,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",우량기업부,27433.4,52.68,B,45.8,47.6,87.4,-0.12048752841778965,0.021316035487439846,3.2246
81,031330,에스에이엠티,기계장비 및 관련 물품 도매업,우량기업부,16269.2,52.31,B,62.3,20.3,93.7,0.3000965069937662,0.055098652603488445,4.3688
82,037460,삼지전자,통신 및 방송 장비 제조업,우량기업부,7400.4,52.26,B,61.5,24.5,86.3,0.27723324786219816,0.06482829835212615,3.0555
83,033790,피노,일차전지 및 이차전지 제조업,중견기업부,8867.1,52.07,B,67.9,24.5,63.7,7.630795321251746,-0.035755180210363585,1.6448
84,064290,인텍플러스,특수 목적용 기계 제조업,중견기업부,5062.0,51.85,B,44.4,46.4,89.5,0.07024481648605052,-0.027933479922633085,3.7303
85,102710,이엔에프테크놀로지,기타 화학제품 제조업,우량기업부,5900.9,51.76,B,55.5,59.1,22.1,0.15188436596957589,0.0671375638706648,0.1357
86,027360,아주IB투자,기타 금융업,중견기업부,12502.2,51.66,B,41.5,49.3,91.1,,0.02458805750112504,3.9856
87,183300,코미코,특수 목적용 기계 제조업,우량기업부,9508.8,51.48,B,53.9,45.5,57.4,0.19121294323079252,0.07497033425446713,1.4441
88,199800,툴젠,자연과학 및 공학 연구개발업,기술성장기업부,4786.7,51.48,B,40.1,72.9,39.5,0.46633248774191904,-0.5962911486011576,0.6444
89,086900,메디톡스,기초 의약물질 제조업,우량기업부,6342.4,51.33,B,50.4,73.5,2.6,0.08165584632857392,0.0269167195701049,-0.4581
90,100790,미래에셋벤처투자,기타 금융업,우량기업부,21488.9,51.26,B,46.2,38.7,97.4,0.025551423990541,0.028115029127355015,5.8627
91,033640,네패스,반도체 제조업,중견기업부,8601.1,51.21,B,49.6,46.1,68.4,0.12298924375953124,0.028955567755168544,1.9369
92,078350,한양디지텍,반도체 제조업,우량기업부,4268.4,50.97,B,48.2,43.8,76.8,0.09389577005398175,0.05033823034637233,2.4182
93,298380,에이비엘바이오,기초 의약물질 제조업,기술성장기업부,59962.6,50.88,B,66.4,32.9,41.1,1.3755284474280023,-0.13482694723190713,0.6652
94,087010,펩트론,기초 의약물질 제조업,기술성장기업부,63073.4,50.63,B,60.7,42.2,36.8,0.787593063420738,-0.07723663785432242,0.5985
95,098460,고영,특수 목적용 기계 제조업,우량기업부,22175.5,50.6,B,38.6,67.5,51.1,0.14865888144698314,0.03596105599737366,1.1371
96,131970,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업",우량기업부,28874.9,50.54,B,39.2,47.3,95.8,-0.18558169531011282,0.0021456317778080426,5.0038
